Name,Platform,Year,Genre,Publisher,Global_Sales
'FIFA Soccer 11',PS3,2010,Sports,'Electronic Arts',5.08
'Super Mario Bros.',GB,1999,Platform,Nintendo,5.07
'Resident Evil',PS,1996,Action,'Virgin Interactive',5.05
'Tony Hawks Pro Skater',PS,1999,Sports,Activision,5.02
'Super Smash Bros. for Wii U and 3DS',WiiU,2014,Fighting,Nintendo,5.02
'Warzone 2100',PS,1999,Strategy,'Eidos Interactive',5.01
'Spyro the Dragon',PS,1998,Platform,'Sony Computer Entertainment',5
'Links Crossbow Training',Wii,2007,Shooter,Nintendo,5
'Guitar Hero III: Legends of Rock',PS2,2007,Misc,Activision,4.98
'Fallout 3',X360,2008,Role-Playing,'Bethesda Softworks',4.96
'Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness',DS,2007,Role-Playing,Nintendo,4.96
'Uncharted: Drakes Fortune',PS3,2007,Action,'Sony Computer Entertainment',4.94
'Madden NFL 06',PS2,2005,Sports,'Electronic Arts',4.91
'LEGO Star Wars: The Complete Saga',DS,2007,Action,LucasArts,4.9
'Diddy Kong Racing',N64,1997,Racing,Nintendo,4.88
'Monster Hunter Freedom 3',PSP,2010,Role-Playing,Capcom,4.87
'Dr. Mario',NES,1990,Puzzle,Nintendo,4.85
'God of War III',PS3,2010,Action,'Sony Computer Entertainment',4.84
'StarCraft II: Wings of Liberty',PC,2010,Strategy,Activision,4.83
'Assassins Creed',PS3,2007,Adventure,Ubisoft,4.83
'FIFA 15',PS3,2014,Sports,'Electronic Arts',4.82
'Crash Team Racing',PS,1999,Racing,'Sony Computer Entertainment',4.79
'FIFA 17',PS4,2016,Sports,'Electronic Arts',4.77
'Batman: Arkham City',X360,2011,Action,'Warner Bros. Interactive Entertainment',4.76
'Driver 2',PS,2000,Action,Atari,4.73
'The Simpsons: Hit & Run',PS2,2003,Racing,'Vivendi Games',4.7
'Tony Hawks Pro Skater 2',PS,2000,Sports,Activision,4.68
'Animal Crossing: City Folk',Wii,2008,Simulation,Nintendo,4.68
'The Lord of the Rings: The Two Towers',PS2,2002,Action,'Electronic Arts',4.67
'Forza Motorsport 4',X360,2011,Racing,'Microsoft Game Studios',4.64
'Tomb Raider',PS,1996,Action,'Eidos Interactive',4.63
'Guitar Hero III: Legends of Rock',Wii,2007,Misc,Activision,4.62
'The Legend of Zelda: A Link to the Past',SNES,1991,Action,Nintendo,4.61
'The Legend of Zelda: The Wind Waker',GC,2002,Action,Nintendo,4.6
'Mario & Sonic at the Olympic Winter Games',Wii,2009,Sports,Sega,4.58
'Luigis Mansion: Dark Moon',3DS,2013,Action,Nintendo,4.58
Splatoon,WiiU,2015,Shooter,Nintendo,4.57
'The Last of Us',PS4,2014,Action,'Sony Computer Entertainment',4.55
'Guitar Hero III: Legends of Rock',X360,2007,Misc,Activision,4.53
'Madden NFL 2005',PS2,2004,Sports,'Electronic Arts',4.53
Pitfall!,2600,1981,Platform,Activision,4.5
'Madden NFL 07',PS2,2006,Sports,'Electronic Arts',4.49
'Spider-Man: The Movie',PS2,2002,Action,Activision,4.48
'Dragon Quest VII: Warriors of Eden',PS,2000,Role-Playing,'Enix Corporation',4.47
'Uncharted: The Nathan Drake Collection',PS4,2015,Action,'Sony Computer Entertainment',4.47
'Call of Duty: Advanced Warfare',PS3,2014,Shooter,Activision,4.45
'God of War',PS2,2005,Action,'Sony Computer Entertainment',4.45
'Nintendo Land',WiiU,2012,Misc,Nintendo,4.44
'Michael Jackson: The Experience',Wii,2010,Misc,Ubisoft,4.42
'Tony Hawks Pro Skater 3',PS2,2001,Sports,Activision,4.41
'Winning Eleven: Pro Evolution Soccer 2007',PS2,2006,Sports,'Konami Digital Entertainment',4.39
'The Elder Scrolls IV: Oblivion',X360,2006,Role-Playing,'Take-Two Interactive',4.39
'Zelda II: The Adventure of Link',NES,1987,Adventure,Nintendo,4.38
'Need for Speed: Most Wanted',PS2,2005,Racing,'Electronic Arts',4.37
'Resistance: Fall of Man',PS3,2006,Shooter,'Sony Computer Entertainment',4.35
'Sonic the Hedgehog',GEN,1991,Platform,Sega,4.34
'Kingdom Hearts II',PS2,2005,Role-Playing,'Square Enix',4.33
'FIFA 14',X360,2013,Sports,'Electronic Arts',4.31
'Call of Duty: Advanced Warfare',X360,2014,Shooter,Activision,4.31
Asteroids,2600,1980,Shooter,Atari,4.31
'Fable II',X360,2008,Role-Playing,'Microsoft Game Studios',4.31
'Halo 5: Guardians',XOne,2015,Shooter,'Microsoft Game Studios',4.26
'Super Mario 3D World',WiiU,2013,Platform,Nintendo,4.25
'Batman: Arkham Asylum',PS3,2009,Action,'Eidos Interactive',4.25
